CCAA;FallecidosDiarios;Suma de CasosDiarios;Suma de total Paro Registrado;Suma de Paro hombre edad < 25;Suma de Paro hombre edad 25 -45 ;Suma de Paro hombre edad >=45;Suma de Paro mujer edad < 25;Suma de Paro mujer edad 25 -45 ;Suma de Paro mujer edad >=45;Suma de Paro Sin empleo Anterior;Suma de Paro Agricultura;Suma de Paro Construcción;Suma de Paro Industria;Suma de Paro Servicios
Andalucía;930;5715;978297;43593;190621;194878;42170;261692;245343;86930;71597;101074;61299;657397
Aragón;580;2625;79214;4269;14028;15627;3851;19993;21446;5601;3591;5444;8990;55588
Principado de Asturias;210;1006;83793;3047;16267;18868;2723;20084;22804;6904;1433;7657;7211;60588
Cantabria;138;1053;43669;1772;8453;9646;1571;10813;11414;2956;699;3731;3482;32801
Ceuta;3;50;11899;632;2168;2114;748;3447;2790;1974;76;575;471;8803
Castilla y León;1185;11444;166354;7679;29040;36903;6723;38616;47393;13553;8684;12998;15318;115801
Castilla-La Mancha;1724;12385;199019;9538;32143;37755;8840;51741;59002;13490;15583;18007;19837;132102
Canarias;74;826;254981;9645;47987;59819;8571;59514;69445;16293;5087;26374;9842;197385
Cataluña;3603;29316;467810;18857;88979;104691;16566;108080;130637;25305;8526;38706;49903;345370
Extremadura;299;1494;115445;5592;19211;22668;5272;30043;32659;6042;11034;11048;7017;80304
Galicia;452;5954;191629;4919;35436;44627;4631;47574;54442;13634;6385;16358;21221;134031
Islas Baleares;147;763;72542;4789;15672;13212;4497;19216;15156;2998;828;8198;2986;57532
Región de Murci;95;641;114208;5628;19538;21823;5545;30419;31255;9195;6704;10136;12502;75671
Comunidad de Madrid;4357;23144;405023;16496;74174;86517;15554;98994;113288;23328;2925;34065;23609;321096
Melilla;1;53;9350;599;1385;1682;720;2685;2279;1687;63;663;157;6780
Comunidad Foral de Navarra;328;2519;40442;2125;7718;7753;1966;10502;10378;3153;2068;1990;5210;28021
País Vasco;943;7234;138643;5617;27291;29797;5077;34339;36522;15212;2764;9475;16730;94462
La Rioja;243;1976;18943;734;3258;4120;636;4514;5681;904;1590;1168;3592;11689
Comunidad Valenciana;850;4683;439942;19919;75798;92286;17711;106216;128012;25174;13798;36774;58134;306062
