CCAA;FallecidosDiarios;Suma de CasosDiarios;Suma de total Paro Registrado;Suma de Paro hombre edad < 25;Suma de Paro hombre edad 25 -45 ;Suma de Paro hombre edad >=45;Suma de Paro mujer edad < 25;Suma de Paro mujer edad 25 -45 ;Suma de Paro mujer edad >=45;Suma de Paro Sin empleo Anterior;Suma de Paro Agricultura;Suma de Paro Construcción;Suma de Paro Industria;Suma de Paro Servicios
Andalucía;308;6367;945333;41002;183513;191384;40105;250500;238829;85170;68941;104286;58276;628660
Aragón;169;2491;72481;3766;11917;14464;3457;18261;20616;5524;3800;4763;8188;50206
Principado de Asturias;63;1321;77451;2751;14150;17546;2485;18595;21924;6790;1395;6829;6573;55864
Cantabria;54;1212;40642;1610;7460;8999;1445;10069;11059;2910;686;3228;3256;30562
Ceuta;1;51;11480;619;2041;2044;735;3305;2736;1961;75;531;445;8468
Castilla y León;585;6845;152644;6744;25124;34465;5979;35034;45298;13044;8272;11643;13935;105750
Castilla-La Mancha;774;7046;188012;8752;28781;35926;8329;48731;57493;13280;15252;17034;18278;124168
Canarias;62;1373;227634;8115;39765;54498;7407;52312;65537;15882;4622;23433;8861;174836
Cataluña;1458;19985;417047;16549;72553;94651;14764;94737;123793;24943;8400;32290;45056;306358
Extremadura;152;1675;112688;5422;18523;22520;5081;28913;32229;5876;11755;11014;6808;77235
Galicia;103;4432;174481;4314;29743;41450;4166;42764;52044;13437;5950;14443;19045;121606
Islas Baleares;46;1129;62769;3926;12706;11402;3790;16838;14107;2750;693;6133;2462;50731
Región de Murci;37;1041;107312;5247;17272;20646;5216;28536;30395;9132;6757;9297;11468;70658
Comunidad de Madrid;3865;39091;363760;14679;61377;78979;13487;87027;108211;22873;2858;28873;21664;287492
Melilla;1;62;9200;605;1319;1648;725;2638;2265;1690;66;613;149;6682
Comunidad Foral de Navarra;130;2496;37365;1807;6883;7301;1773;9677;9924;3024;2112;1808;4844;25577
País Vasco;369;6835;128213;5010;24134;28034;4579;31448;35008;14555;2694;8793;15362;86809
La Rioja;90;1960;17973;662;3012;4047;578;4181;5493;894;1795;1096;3308;10880
Comunidad Valenciana;395;5907;401827;16861;64475;85749;15018;96738;122986;22737;13297;33279;52701;279813
