CCAA;FallecidosDiarios;Suma de CasosDiarios;Suma de total Paro Registrado;Suma de Paro hombre edad < 25;Suma de Paro hombre edad 25 -45 ;Suma de Paro hombre edad >=45;Suma de Paro mujer edad < 25;Suma de Paro mujer edad 25 -45 ;Suma de Paro mujer edad >=45;Suma de Paro Sin empleo Anterior;Suma de Paro Agricultura;Suma de Paro Construcción;Suma de Paro Industria;Suma de Paro Servicios
Andalucía;308;6367;945333;41002;183513;191384;40105;250500;238829;85170;68941;104286;58276;628660
Aragón;169;2491;72481;3766;11917;14464;3457;18261;20616;5524;3800;4763;8188;50206
Principado de Asturias;63;1321;77451;2751;14150;17546;2485;18595;21924;6790;1395;6829;6573;55864
Cantabria;54;1212;40642;1610;7460;8999;1445;10069;11059;2910;686;3228;3256;30562
Ceuta;1;51;11480;619;2041;2044;735;3305;2736;1961;75;531;445;8468
Castilla y León;585;6845;152644;6744;25124;34465;5979;35034;45298;13044;8272;11643;13935;105750
Castilla-La Mancha;774;7046;188012;8752;28781;35926;8329;48731;57493;13280;15252;17034;18278;124168
Canarias;62;1373;227634;8115;39765;54498;7407;52312;65537;15882;4622;23433;8861;174836
Cataluña;1458;19985;417047;16549;72553;94651;14764;94737;123793;24943;8400;32290;45056;306358
Extremadura;152;1675;112688;5422;18523;22520;5081;28913;32229;5876;11755;11014;6808;77235
Galicia;103;4432;174481;4314;29743;41450;4166;42764;52044;13437;5950;14443;19045;121606
Islas Baleares;46;1129;62769;3926;12706;11402;3790;16838;14107;2750;693;6133;2462;50731
Región de Murci;37;1041;107312;5247;17272;20646;5216;28536;30395;9132;6757;9297;11468;70658
Comunidad de Madrid;3865;39091;363760;14679;61377;78979;13487;87027;108211;22873;2858;28873;21664;287492
Melilla;1;62;9200;605;1319;1648;725;2638;2265;1690;66;613;149;6682
Comunidad Foral de Navarra;130;2496;37365;1807;6883;7301;1773;9677;9924;3024;2112;1808;4844;25577
País Vasco;369;6835;128213;5010;24134;28034;4579;31448;35008;14555;2694;8793;15362;86809
La Rioja;90;1960;17973;662;3012;4047;578;4181;5493;894;1795;1096;3308;10880
Comunidad Valenciana;395;5907;401827;16861;64475;85749;15018;96738;122986;22737;13297;33279;52701;279813
Andalucía;930;5715;978297;43593;190621;194878;42170;261692;245343;86930;71597;101074;61299;657397
Aragón;580;2625;79214;4269;14028;15627;3851;19993;21446;5601;3591;5444;8990;55588
Principado de Asturias;210;1006;83793;3047;16267;18868;2723;20084;22804;6904;1433;7657;7211;60588
Cantabria;138;1053;43669;1772;8453;9646;1571;10813;11414;2956;699;3731;3482;32801
Ceuta;3;50;11899;632;2168;2114;748;3447;2790;1974;76;575;471;8803
Castilla y León;1185;11444;166354;7679;29040;36903;6723;38616;47393;13553;8684;12998;15318;115801
Castilla-La Mancha;1724;12385;199019;9538;32143;37755;8840;51741;59002;13490;15583;18007;19837;132102
Canarias;74;826;254981;9645;47987;59819;8571;59514;69445;16293;5087;26374;9842;197385
Cataluña;3603;29316;467810;18857;88979;104691;16566;108080;130637;25305;8526;38706;49903;345370
Extremadura;299;1494;115445;5592;19211;22668;5272;30043;32659;6042;11034;11048;7017;80304
Galicia;452;5954;191629;4919;35436;44627;4631;47574;54442;13634;6385;16358;21221;134031
Islas Baleares;147;763;72542;4789;15672;13212;4497;19216;15156;2998;828;8198;2986;57532
Región de Murci;95;641;114208;5628;19538;21823;5545;30419;31255;9195;6704;10136;12502;75671
Comunidad de Madrid;4357;23144;405023;16496;74174;86517;15554;98994;113288;23328;2925;34065;23609;321096
Melilla;1;53;9350;599;1385;1682;720;2685;2279;1687;63;663;157;6780
Comunidad Foral de Navarra;328;2519;40442;2125;7718;7753;1966;10502;10378;3153;2068;1990;5210;28021
País Vasco;943;7234;138643;5617;27291;29797;5077;34339;36522;15212;2764;9475;16730;94462
La Rioja;243;1976;18943;734;3258;4120;636;4514;5681;904;1590;1168;3592;11689
Comunidad Valenciana;850;4683;439942;19919;75798;92286;17711;106216;128012;25174;13798;36774;58134;306062
